,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,project_id
79,45.71496208,58.20580197,-3.797011648,17.08961927,0.306612641,-0.26067023,15.16116722,-7.327290151,0.531209142,-5.326826736,1.322015564,-4.859421048,TCGA-OV
80,59.91465591,41.323054,-10.26544265,5.474274758,2.956260631,-1.212473686,19.43498933,-10.19682277,5.159442914,-4.866707108,7.683455115,-3.299368135,TCGA-OV
81,40.38085148,32.67281227,-11.69738742,5.34449865,-15.60774212,-2.762329349,12.87845433,-4.439491249,-6.41223376,0.271465651,3.150441274,2.774711479,TCGA-OV
82,-52.5183036,48.00755422,-6.365852051,-20.14009033,-3.807352866,18.49462601,0.05375601,-5.919756639,26.72889626,-3.703910972,9.014294949,5.391163727,TCGA-OV
83,-45.67284928,82.33522738,-17.15427617,10.68433452,-38.18042887,-14.77436503,22.61658995,1.708720189,-19.38070415,14.92671852,-17.42538751,8.648410312,TCGA-OV
84,3.147710043,51.24363436,4.214393443,11.99008267,-42.77120731,9.857017558,12.43188365,2.437488275,-14.49312993,14.93188397,-9.714675554,14.53616101,TCGA-OV
85,-55.6399259,66.2526472,-14.40277122,-10.75489726,-14.011542,14.12234294,0.751130609,-3.664260665,17.57922992,-12.72115776,14.86313193,-4.878655981,TCGA-OV
86,32.94964107,42.3971166,3.317606545,14.48253718,-18.32495672,2.674224721,16.87574042,-3.980649194,1.153897391,7.541732913,-5.767427411,10.21241513,TCGA-OV
87,-183.4665013,87.98390644,-0.330991968,-0.292314274,-33.2558053,19.54650186,16.40459963,-22.84699322,-19.08230699,19.26937165,-4.514493712,23.02045053,TCGA-OV
88,-26.09239863,58.23382209,-12.94455221,6.053775706,-1.792012147,0.67805889,15.13940891,-17.40253781,3.41014451,-5.301134728,7.509661242,6.910960688,TCGA-OV
89,69.35658533,24.42821723,-8.181766765,5.209252461,-24.34989659,1.69690265,14.88106393,-1.309825776,1.188122971,-0.235625528,-2.363022919,3.774002472,TCGA-OV
90,37.06652077,40.18957976,-10.40433361,5.28322951,-5.836152843,-6.174417701,19.46778579,-8.881616322,-10.07575308,-1.47684353,4.223949156,2.625478597,TCGA-OV
91,-47.06259144,82.31314339,-8.898429924,21.81253538,-8.191510648,-17.30954426,32.93689318,-24.90960514,-15.79861617,4.041792291,-15.45027984,6.249938396,TCGA-OV
92,-3.707512307,50.66591197,-12.04030675,3.280978199,-16.49131559,-5.568598522,22.34046544,-12.45950267,-4.485618669,-1.472620756,-3.554717508,10.18200662,TCGA-OV
93,52.31556441,30.59823025,-11.33979507,-1.311976526,-11.3189942,-3.231143466,23.41668777,-11.19750236,-13.20131395,-7.864824842,3.848027031,5.607906491,TCGA-OV
94,-23.29835344,57.64437243,-5.901386008,-1.932306491,-5.908377423,0.797977342,24.80018498,-23.52166785,-10.31610933,-0.42804693,-0.67378442,12.69840328,TCGA-OV
95,-51.81676341,61.76851592,-3.922197747,-11.22757208,-7.627720384,21.0249693,30.16045042,-0.051447706,-12.78498912,16.51907725,-1.044631101,0.736426102,TCGA-OV
96,1.6676258,58.22633085,-12.57883265,8.724299487,-9.376667344,-5.865295279,30.5209879,-16.12794241,10.65356523,1.627732862,6.53273425,3.834379605,TCGA-OV
97,7.540963167,33.51101832,-6.907667607,-1.017336618,-31.45991289,15.59496335,2.228637436,6.849117226,-0.382680565,1.797615198,-5.2614686,0.948257788,TCGA-OV
98,44.80823676,40.76662919,-18.36086888,2.486100109,-21.93785659,-7.301448928,12.82963362,-6.38710876,-0.82346428,-7.332233422,6.966362346,-5.652387872,TCGA-OV
99,26.58519391,45.54903848,-9.744023533,1.728857753,7.738960855,-11.3022036,41.07178839,-27.11291142,-6.067135545,2.458150201,1.250384928,2.371630956,TCGA-OV
100,-34.78489395,62.26555053,-2.279603928,7.898682378,-12.06913123,-10.69310349,29.68343549,-16.84275734,-17.91122696,10.33671803,-6.110752816,16.64487751,TCGA-OV
101,-52.78687786,43.3221888,-0.079330303,-13.05474002,-22.67472102,22.51647547,-12.23368093,-15.8448943,17.36569427,-11.5935448,2.217510438,-0.708326473,TCGA-OV
102,-23.62165305,45.45740167,-18.04628564,-2.637843533,-5.97820753,-14.29903937,26.03977467,-18.52961565,-14.40795775,-6.430208213,-4.745787211,1.845364052,TCGA-OV
103,93.72618701,25.74100382,-6.607997979,-0.038011501,3.762907836,9.954922856,11.57844249,-4.435689007,3.295476542,-12.40895228,8.569887939,-2.353794856,TCGA-OV
104,47.29473179,22.13238829,-15.64235438,-2.344880027,-11.67750811,0.134919597,13.88613159,-8.493059154,10.5455616,-4.983553125,3.616149485,-6.099141446,TCGA-OV
105,-105.189781,40.80038723,-19.03395853,-16.10165528,-38.38953641,4.081668721,7.026888163,11.72140859,-5.593643878,3.485044321,3.517251518,-6.271258055,TCGA-OV
