"project_id","ENSG00000107625","ENSG00000141644","ENSG00000160058","ENSG00000111361","ENSG00000136682","ENSG00000110696","ENSG00000198060","ENSG00000160785","ENSG00000186001","ENSG00000125779","ENSG00000166170","ENSG00000163374","ENSG00000169180","ENSG00000035928","ENSG00000143971","ENSG00000120709","ENSG00000101654","ENSG00000100461","ENSG00000187866","ENSG00000137764","ENSG00000166716","ENSG00000105879","ENSG00000144848","ENSG00000114416","ENSG00000091542"
"TCGA-THCA",3727,3254,7115,1859,980,12042,2742,2403,1904,1967,8147,2460,4830,6252,1189,1786,4764,5071,1808,1432,5737,1811,3869,11700,6181
"TCGA-THCA",1656,1728,3474,1721,469,6762,1491,1418,965,981,2662,1593,2056,2169,807,736,1834,1737,1057,691,1592,974,2264,4883,3368
"TCGA-THCA",3221,4061,9084,2850,791,13452,3440,2115,1637,2176,5318,1978,5362,4302,896,1688,4432,5498,1699,1213,4597,1593,3938,9966,7017
"TCGA-THCA",3558,4311,7719,2791,1037,13563,3734,2390,1721,2141,4917,2253,4086,4171,1472,1563,4354,5604,2417,1442,4345,2234,3405,9325,7099
"TCGA-THCA",2954,4151,7063,2721,843,13443,3962,2017,1618,2369,6425,2379,4278,4976,1354,1809,4912,5247,2160,1363,5290,1921,3777,9379,7007
"TCGA-THCA",2286,3067,6490,2135,716,9131,2875,1653,1553,1816,5451,1532,4388,3408,809,1415,3557,3718,1372,893,3490,1273,2853,7065,5253
"TCGA-THCA",3026,3696,7598,2121,912,11020,2560,2699,1742,1878,4800,2102,4633,3547,762,1581,3158,5881,2438,1088,3982,1494,3643,7260,7291
"TCGA-THCA",3793,5465,10157,3224,1050,14837,4213,2673,2147,2644,7378,2499,7111,5828,1043,2103,5088,5703,1929,1569,5561,1835,4364,11529,7183
"TCGA-THCA",2953,3850,7967,2775,1047,14547,4470,1959,1463,2136,5947,1809,5287,4310,1149,1157,3769,5052,1651,1263,4100,2005,4230,9787,6016
"TCGA-THCA",4472,4814,11930,3340,1268,16482,4983,3291,2386,2625,6700,3009,6545,5234,1249,2271,6333,7962,1748,1425,4955,1363,4785,11335,8044
"TCGA-THCA",3148,4886,9052,2482,1209,13350,3698,2671,1644,1994,4713,2326,6900,4500,1064,1791,4209,7252,1904,1389,3917,1682,3327,6877,9403
"TCGA-THCA",2555,4264,6874,2432,788,11341,3283,1959,1495,1910,5174,1759,6019,3811,1116,1333,4336,4310,1225,1102,3252,1426,3393,7382,4564
"TCGA-THCA",1553,2462,4184,1658,547,6055,1847,1216,1092,997,1839,1036,2474,1602,977,844,1942,2720,1089,619,1710,852,1484,4804,3380
"TCGA-THCA",2137,3463,7523,3394,752,9508,2908,2401,1275,1795,4344,2136,4737,2607,823,1052,2972,3843,928,1132,2981,1237,4301,8068,7301
"TCGA-THCA",1289,1195,2753,1474,243,4402,1119,1376,455,737,2463,296,2966,1334,426,236,596,2381,401,1088,1522,561,1815,3504,3049
"TCGA-THCA",2271,4571,7639,2606,949,10660,2789,1868,1392,1955,3428,1857,5048,3112,998,1480,4334,3135,1869,1198,3090,1572,3012,7070,8309
"TCGA-THCA",2729,4296,6226,2575,947,10728,3516,2176,1773,1530,4488,2095,4986,3302,988,1395,3062,5482,1773,1075,3755,1550,3320,7077,5279
"TCGA-THCA",2443,3639,6657,2122,813,9607,2384,1904,1497,1664,2945,1722,4418,3347,713,1763,2948,4844,1893,1194,3215,1628,2982,6370,6124
"TCGA-THCA",1153,2101,3379,1463,327,4942,1445,1426,937,824,2424,1110,2675,1750,386,790,1505,2294,711,526,1900,864,1769,3722,3163
"TCGA-THCA",2418,3237,6686,2550,669,9421,2976,2260,1788,1862,4248,1887,4803,2909,920,1625,2906,5274,1515,954,3632,1375,3210,6352,6225
"TCGA-THCA",1588,2384,4202,2071,509,8116,2318,1045,1249,1131,3199,929,2753,2056,737,690,1642,2600,1264,618,2485,1042,2707,5918,4166
"TCGA-THCA",2758,4318,7107,2543,1009,10994,2784,2409,1653,1663,4511,2187,6166,3605,1014,1676,3320,6076,1849,1522,3491,1969,3744,6676,8117
"TCGA-THCA",2818,4000,6954,2203,773,11044,3537,1387,1164,2066,5165,1812,5201,3482,640,1287,3866,4450,1344,1664,3645,1060,2777,8951,6559
"TCGA-THCA",3126,4147,9021,3425,964,12573,4574,2105,1945,2434,6160,1890,5469,3440,1176,1521,3679,5605,1646,1061,4526,1479,4065,9137,8271
"TCGA-THCA",2552,3298,5879,2569,551,7463,1986,2193,1295,1457,3546,1156,4584,2157,627,752,2088,5267,1021,1720,2395,841,2996,4904,6810
"TCGA-THCA",3875,5594,9873,2663,944,12484,4465,3605,2733,3126,7474,2788,6823,7037,1253,2853,6311,7394,2452,1406,6799,2239,3256,8773,9262
"TCGA-THCA",4726,5403,10749,3134,1398,15814,4576,3416,2786,3067,7615,3438,5940,6788,1306,2412,7205,6520,2853,2367,7209,2433,4129,11284,8416
"TCGA-THCA",3719,4271,6546,2853,852,10031,3925,2694,1453,2377,4644,2172,8949,4815,1323,1666,3578,7804,2448,1999,3511,2232,4400,9426,11546
"TCGA-THCA",1240,2401,3502,1405,478,5484,2234,1494,686,907,2271,901,4266,2137,579,667,1248,2856,735,808,1955,767,2465,3880,4519
"TCGA-THCA",3752,3346,5215,2720,548,10985,3662,2004,1365,2529,3655,1702,7131,3913,967,2002,3169,4302,2127,1494,3542,4250,3432,6305,12938
"TCGA-THCA",2288,3014,5651,2361,664,7669,2340,2505,1316,1564,5357,1719,5384,4098,788,2140,2216,8156,2758,1130,2780,2149,2453,5177,11775
"TCGA-THCA",1741,2151,4241,1727,412,5520,963,1187,726,756,2795,944,3236,2023,469,684,1214,3607,919,566,1510,2277,1645,2829,5562
"TCGA-THCA",2772,3147,6418,2172,788,10674,2789,2036,1617,2104,5605,1798,4627,3858,728,1743,4067,4880,1603,1082,3980,1193,3074,9098,6511
"TCGA-THCA",2515,3190,6084,1876,823,9922,4188,2282,1542,2276,4271,1772,4841,4806,935,1532,3351,5275,2335,1265,4542,1693,3771,7833,6795
"TCGA-THCA",3122,3707,7771,2206,1022,10433,3321,2558,1971,2094,3820,1973,5355,4123,1070,1688,3641,5797,2236,1317,4059,1553,3347,7331,8030
"TCGA-THCA",3218,4482,9133,3223,638,8078,6341,2828,2102,1439,9165,2089,11188,5837,801,3139,3493,9441,3225,1506,4778,3356,5295,10215,13250
"TCGA-THCA",2008,2742,5201,2101,512,7484,2383,1567,1108,1228,2349,1229,4024,2857,535,1012,2539,3257,1936,745,2753,973,2118,6869,5093
"TCGA-THCA",4377,5285,8542,2317,1004,13872,5191,2826,1924,2171,8160,2679,10554,7155,1275,2121,4394,8154,2590,1651,6698,3520,5137,10553,10375
"TCGA-THCA",2607,928,3379,2228,157,3208,1341,206,2175,1379,4805,461,7035,1894,464,167,1113,869,688,1052,1840,687,4038,5633,6472
