"project_id","ENSG00000042832","ENSG00000198804","ENSG00000115414","ENSG00000198886","ENSG00000153002","ENSG00000108821","ENSG00000198938","ENSG00000164733","ENSG00000168878","ENSG00000120885","ENSG00000164692","ENSG00000198712","ENSG00000198727","ENSG00000168542","ENSG00000198763","ENSG00000156508","ENSG00000198888","ENSG00000110484","ENSG00000198786","ENSG00000075624"
"TCGA-BRCA",34,422999,175378,316577,21,74590,192934,83897,7,44584,76937,178755,211409,88009,156047,226284,139853,100,136374,261029
"TCGA-BRCA",95,550286,661067,345951,527,497586,276033,91543,10,16856,479934,207100,203378,369894,133709,324000,150182,780362,210721,249829
"TCGA-BRCA",55,879102,333616,843716,7,450035,529010,70107,14,58812,305179,547221,340354,236416,512535,201719,438078,800,247841,146497
"TCGA-BRCA",67,241449,21637,200332,4,51286,113536,14051,20,39091,41869,89568,103517,38489,78729,224529,85789,18868,101825,154381
"TCGA-BRCA",10,1540064,49976,1794949,343,145636,1145061,39927,10,15917,80158,1077890,1168068,71677,658729,240729,513611,41504,360813,175136
"TCGA-BRCA",2,848492,29606,602722,1016,37408,438172,34043,31,109548,33890,241414,356458,31971,232879,292047,214721,5417541,123405,122539
"TCGA-BRCA",38,390350,162527,683644,1,157973,242038,101586,4,35369,87255,402776,188540,95494,359493,310625,153748,361,96455,514824
"TCGA-BRCA",34,267719,9470,151409,27154,8881,172978,45382,1,145212,5588,111372,90981,3954,49528,215970,62446,238,52097,173092
"TCGA-BRCA",11,729362,12094,650781,7,18048,886759,24214,3,15594,6427,805582,448189,2251,486914,46821,412194,0,183423,151704
"TCGA-BRCA",67,632412,16577,334087,7,16038,292749,40418,4,58570,8689,231768,231107,6165,215030,113010,225864,1178,187609,138765
"TCGA-BRCA",22,223957,179048,144726,53,517914,207162,71562,17,22562,341034,206894,65051,235910,55334,317758,52901,692,21717,379448
"TCGA-THCA",1416198,520281,742081,314919,1,11032,190751,445777,8854,346218,6574,169651,162528,6721,92262,545556,87005,1,192408,118538
"TCGA-THCA",450355,1990534,2727286,1846878,0,72595,866707,1059089,79598,988426,61307,537193,609528,41979,424957,370627,251661,0,325565,261128
"TCGA-THCA",1899497,621037,492558,374323,0,42417,217994,501040,12045,1373149,27921,157201,182680,28027,93259,512606,79729,0,219229,126373
"TCGA-THCA",1057974,2766399,998471,1562370,1,198376,1031891,520068,97350,472711,134255,730603,610202,93330,807062,315103,544711,0,391059,433825
